|papel|DENOM_COMERC                                            |div_yield|atuacao                       |segmento_listagem|cresc_rec_cinco_anos|reclameaquinota|reclameaquitexto|patrim_liq     |
|-----|--------------------------------------------------------|---------|------------------------------|-----------------|--------------------|---------------|----------------|---------------|
|BBAS3|BANCO DO BRASIL S.A.                                    |0.83     |Bancos                        |Novo Mercado     |0.34                |8              |Ótimo           |163,638,000,000|
|ELET3|ELETROBRAS                                              |0.51     |Energia - Distribuição        |Nível 1          |0.38                |na             |na              |113,118,000,000|
|ELET5|ELETROBRAS                                              |0        |Energia - Distribuição        |Nível 1          |0.38                |na             |na              |113,118,000,000|
|CEBR3|CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA                  |0.52     |Energia - Distribuição        |Tradicional      |0.74                |7.9            |Bom             |1,045,450,000  |
|CEBR5|CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA                  |0.06     |Energia - Distribuição        |Tradicional      |0.74                |7.9            |Bom             |1,045,450,000  |
|ARML3|na                                                      |0.79     |na                            |na               |0.64                |-1             |na              |1,213,290,000  |
|TELB3|TELEBRAS                                                |0        |Telecomunicações              |Tradicional      |0.75                |na             |na              |1,586,870,000  |
|TELB4|TELEBRAS                                                |0        |Telecomunicações              |Tradicional      |0.75                |na             |na              |1,586,870,000  |
|ATOM3|ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.               |0.4      |Mercado Financeiro            |Tradicional      |0.53                |8.4            |Ótimo           |18,297,000     |
|AMER3|AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL               |0        |Varejo - Geral                |Novo Mercado     |0.76                |8.9            |Ótimo           |-26,666,600,000|
|ENGI3|ENERGISA                                                |0.71     |Energia - Distribuição        |Nível 2          |0.47                |5.1            |Ruim            |12,045,000,000 |
|ENGI4|ENERGISA                                                |0.28     |Energia - Distribuição        |Nível 2          |0.47                |5.1            |Ruim            |12,045,000,000 |
|CIEL3|CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO                   |0.39     |Meios de Pagamento            |Novo Mercado     |0.03                |8.9            |Ótimo           |12,258,800,000 |
|NEOE3|NEOENERGIA S.A.                                         |0.45     |Energia - Distribuição        |Novo Mercado     |0.5                 |na             |na              |29,866,000,000 |
|LIPR3|ELETROPAR                                               |0.68     |Holding                       |Tradicional      |0                   |na             |na              |215,774,000    |
|GFSA3|GAFISA                                                  |0        |Construção                    |Novo Mercado     |0.32                |6.1            |Regular         |1,687,910,000  |
